MSOA code,MSOA name,Local authority code,Local authority name,Region code,Region name,Total annual income (£),Upper confidence limit (£),Lower confidence limit (£),Confidence interval (£)
W02000268,Rhondda Cynon Taf 017,W06000016,Rhondda Cynon Taf,W92000004,Wales," 39,821 "," 46,466 "," 34,126 "," 12,340 "
W02000269,Rhondda Cynon Taf 018,W06000016,Rhondda Cynon Taf,W92000004,Wales," 36,539 "," 42,799 "," 31,195 "," 11,604 "
W02000270,Rhondda Cynon Taf 019,W06000016,Rhondda Cynon Taf,W92000004,Wales," 44,649 "," 52,264 "," 38,144 "," 14,120 "
W02000271,Rhondda Cynon Taf 020,W06000016,Rhondda Cynon Taf,W92000004,Wales," 36,519 "," 42,805 "," 31,155 "," 11,650 "
W02000272,Rhondda Cynon Taf 021,W06000016,Rhondda Cynon Taf,W92000004,Wales," 45,364 "," 53,098 "," 38,757 "," 14,341 "
W02000273,Rhondda Cynon Taf 022,W06000016,Rhondda Cynon Taf,W92000004,Wales," 39,961 "," 46,924 "," 34,031 "," 12,893 "
W02000274,Rhondda Cynon Taf 023,W06000016,Rhondda Cynon Taf,W92000004,Wales," 41,184 "," 48,412 "," 35,036 "," 13,376 "
W02000275,Rhondda Cynon Taf 024,W06000016,Rhondda Cynon Taf,W92000004,Wales," 39,928 "," 46,742 "," 34,107 "," 12,635 "
W02000276,Rhondda Cynon Taf 025,W06000016,Rhondda Cynon Taf,W92000004,Wales," 49,112 "," 57,474 "," 41,966 "," 15,508 "
W02000277,Rhondda Cynon Taf 026,W06000016,Rhondda Cynon Taf,W92000004,Wales," 42,661 "," 50,003 "," 36,398 "," 13,605 "
W02000278,Rhondda Cynon Taf 027,W06000016,Rhondda Cynon Taf,W92000004,Wales," 58,204 "," 68,489 "," 49,464 "," 19,025 "
W02000279,Rhondda Cynon Taf 028,W06000016,Rhondda Cynon Taf,W92000004,Wales," 44,390 "," 51,923 "," 37,949 "," 13,974 "
W02000280,Rhondda Cynon Taf 029,W06000016,Rhondda Cynon Taf,W92000004,Wales," 53,676 "," 62,774 "," 45,896 "," 16,878 "
W02000281,Rhondda Cynon Taf 030,W06000016,Rhondda Cynon Taf,W92000004,Wales," 50,614 "," 59,569 "," 43,005 "," 16,564 "
W02000282,Rhondda Cynon Taf 031,W06000016,Rhondda Cynon Taf,W92000004,Wales," 56,341 "," 66,424 "," 47,789 "," 18,635 "
W02000290,Caerphilly 001,W06000018,Caerphilly,W92000004,Wales," 35,374 "," 42,436 "," 29,488 "," 12,948 "
W02000291,Caerphilly 002,W06000018,Caerphilly,W92000004,Wales," 33,361 "," 39,285 "," 28,331 "," 10,954 "
W02000292,Caerphilly 003,W06000018,Caerphilly,W92000004,Wales," 38,561 "," 45,340 "," 32,795 "," 12,545 "
W02000293,Caerphilly 004,W06000018,Caerphilly,W92000004,Wales," 36,266 "," 42,563 "," 30,901 "," 11,662 "
W02000294,Caerphilly 005,W06000018,Caerphilly,W92000004,Wales," 42,355 "," 49,893 "," 35,956 "," 13,937 "
W02000295,Caerphilly 006,W06000018,Caerphilly,W92000004,Wales," 46,021 "," 53,719 "," 39,427 "," 14,292 "
W02000296,Caerphilly 007,W06000018,Caerphilly,W92000004,Wales," 39,117 "," 45,661 "," 33,510 "," 12,151 "
W02000297,Caerphilly 008,W06000018,Caerphilly,W92000004,Wales," 39,965 "," 47,148 "," 33,876 "," 13,272 "
W02000298,Caerphilly 009,W06000018,Caerphilly,W92000004,Wales," 46,295 "," 54,875 "," 39,058 "," 15,817 "
W02000299,Caerphilly 010,W06000018,Caerphilly,W92000004,Wales," 40,807 "," 47,574 "," 35,003 "," 12,571 "
W02000300,Caerphilly 011,W06000018,Caerphilly,W92000004,Wales," 44,283 "," 51,922 "," 37,768 "," 14,154 "
W02000301,Caerphilly 012,W06000018,Caerphilly,W92000004,Wales," 43,761 "," 51,725 "," 37,023 "," 14,702 "
W02000302,Caerphilly 013,W06000018,Caerphilly,W92000004,Wales," 45,945 "," 53,628 "," 39,362 "," 14,266 "
W02000303,Caerphilly 014,W06000018,Caerphilly,W92000004,Wales," 42,520 "," 50,137 "," 36,059 "," 14,078 "
W02000304,Caerphilly 015,W06000018,Caerphilly,W92000004,Wales," 41,516 "," 48,521 "," 35,522 "," 12,999 "
W02000305,Caerphilly 016,W06000018,Caerphilly,W92000004,Wales," 43,748 "," 51,230 "," 37,358 "," 13,872 "
W02000306,Caerphilly 017,W06000018,Caerphilly,W92000004,Wales," 41,352 "," 48,334 "," 35,379 "," 12,955 "
W02000307,Caerphilly 018,W06000018,Caerphilly,W92000004,Wales," 38,551 "," 45,145 "," 32,920 "," 12,225 "
W02000308,Caerphilly 019,W06000018,Caerphilly,W92000004,Wales," 43,971 "," 51,360 "," 37,645 "," 13,715 "
W02000309,Caerphilly 020,W06000018,Caerphilly,W92000004,Wales," 42,086 "," 49,499 "," 35,782 "," 13,717 "
W02000310,Caerphilly 021,W06000018,Caerphilly,W92000004,Wales," 47,884 "," 55,891 "," 41,024 "," 14,867 "
W02000311,Caerphilly 022,W06000018,Caerphilly,W92000004,Wales," 41,936 "," 48,936 "," 35,937 "," 12,999 "
W02000312,Caerphilly 023,W06000018,Caerphilly,W92000004,Wales," 44,441 "," 52,091 "," 37,915 "," 14,176 "
W02000313,Caerphilly 024,W06000018,Caerphilly,W92000004,Wales," 53,895 "," 63,385 "," 45,825 "," 17,560 "
W02000314,Blaenau Gwent 001,W06000019,Blaenau Gwent,W92000004,Wales," 38,772 "," 45,284 "," 33,196 "," 12,088 "
W02000315,Blaenau Gwent 002,W06000019,Blaenau Gwent,W92000004,Wales," 37,171 "," 43,740 "," 31,589 "," 12,151 "
W02000316,Blaenau Gwent 003,W06000019,Blaenau Gwent,W92000004,Wales," 38,672 "," 45,225 "," 33,068 "," 12,157 "
W02000317,Blaenau Gwent 004,W06000019,Blaenau Gwent,W92000004,Wales," 39,542 "," 46,146 "," 33,883 "," 12,263 "
W02000318,Blaenau Gwent 005,W06000019,Blaenau Gwent,W92000004,Wales," 37,411 "," 43,771 "," 31,975 "," 11,796 "
W02000319,Blaenau Gwent 006,W06000019,Blaenau Gwent,W92000004,Wales," 37,297 "," 43,617 "," 31,893 "," 11,724 "
W02000320,Blaenau Gwent 007,W06000019,Blaenau Gwent,W92000004,Wales," 39,051 "," 45,617 "," 33,430 "," 12,187 "
W02000321,Blaenau Gwent 008,W06000019,Blaenau Gwent,W92000004,Wales," 38,499 "," 45,012 "," 32,928 "," 12,084 "
W02000322,Blaenau Gwent 009,W06000019,Blaenau Gwent,W92000004,Wales," 33,801 "," 39,519 "," 28,911 "," 10,608 "
W02000323,Torfaen 001,W06000020,Torfaen,W92000004,Wales," 40,088 "," 46,889 "," 34,273 "," 12,616 "
W02000324,Torfaen 002,W06000020,Torfaen,W92000004,Wales," 39,289 "," 45,980 "," 33,571 "," 12,409 "
W02000325,Torfaen 003,W06000020,Torfaen,W92000004,Wales," 41,632 "," 49,730 "," 34,853 "," 14,877 "
W02000326,Torfaen 004,W06000020,Torfaen,W92000004,Wales," 38,624 "," 45,069 "," 33,101 "," 11,968 "
W02000327,Torfaen 005,W06000020,Torfaen,W92000004,Wales," 49,985 "," 58,321 "," 42,840 "," 15,481 "
W02000328,Torfaen 006,W06000020,Torfaen,W92000004,Wales," 45,351 "," 53,084 "," 38,744 "," 14,340 "
W02000329,Torfaen 007,W06000020,Torfaen,W92000004,Wales," 42,262 "," 49,317 "," 36,217 "," 13,100 "
W02000330,Torfaen 008,W06000020,Torfaen,W92000004,Wales," 43,780 "," 51,698 "," 37,075 "," 14,623 "
W02000331,Torfaen 009,W06000020,Torfaen,W92000004,Wales," 39,545 "," 46,994 "," 33,276 "," 13,718 "
W02000332,Torfaen 010,W06000020,Torfaen,W92000004,Wales," 37,910 "," 44,628 "," 32,204 "," 12,424 "
W02000333,Torfaen 011,W06000020,Torfaen,W92000004,Wales," 44,809 "," 53,874 "," 37,269 "," 16,605 "
W02000334,Torfaen 012,W06000020,Torfaen,W92000004,Wales," 49,889 "," 58,244 "," 42,733 "," 15,511 "
W02000335,Torfaen 013,W06000020,Torfaen,W92000004,Wales," 53,158 "," 62,143 "," 45,472 "," 16,671 "
W02000336,Monmouthshire 001,W06000021,Monmouthshire,W92000004,Wales," 47,816 "," 55,888 "," 40,909 "," 14,979 "
W02000337,Monmouthshire 002,W06000021,Monmouthshire,W92000004,Wales," 40,279 "," 47,086 "," 34,456 "," 12,630 "
W02000338,Monmouthshire 003,W06000021,Monmouthshire,W92000004,Wales," 50,603 "," 59,197 "," 43,257 "," 15,940 "
W02000339,Monmouthshire 004,W06000021,Monmouthshire,W92000004,Wales," 44,163 "," 54,265 "," 35,942 "," 18,323 "
W02000340,Monmouthshire 005,W06000021,Monmouthshire,W92000004,Wales," 52,723 "," 61,701 "," 45,051 "," 16,650 "
W02000341,Monmouthshire 006,W06000021,Monmouthshire,W92000004,Wales," 50,682 "," 59,391 "," 43,250 "," 16,141 "
W02000342,Monmouthshire 007,W06000021,Monmouthshire,W92000004,Wales," 58,760 "," 73,255 "," 47,133 "," 26,122 "
W02000343,Monmouthshire 008,W06000021,Monmouthshire,W92000004,Wales," 43,715 "," 51,042 "," 37,440 "," 13,602 "
W02000344,Monmouthshire 009,W06000021,Monmouthshire,W92000004,Wales," 56,665 "," 66,188 "," 48,512 "," 17,676 "
W02000345,Monmouthshire 010,W06000021,Monmouthshire,W92000004,Wales," 42,804 "," 49,954 "," 36,676 "," 13,278 "
W02000346,Monmouthshire 011,W06000021,Monmouthshire,W92000004,Wales," 61,168 "," 72,827 "," 51,376 "," 21,451 "
W02000347,Newport 001,W06000022,Newport,W92000004,Wales," 52,056 "," 60,723 "," 44,625 "," 16,098 "
W02000348,Newport 002,W06000022,Newport,W92000004,Wales," 42,674 "," 51,261 "," 35,526 "," 15,735 "
W02000349,Newport 003,W06000022,Newport,W92000004,Wales," 36,869 "," 43,179 "," 31,480 "," 11,699 "
W02000350,Newport 004,W06000022,Newport,W92000004,Wales," 56,323 "," 66,446 "," 47,742 "," 18,704 "
W02000351,Newport 005,W06000022,Newport,W92000004,Wales," 42,423 "," 49,940 "," 36,037 "," 13,903 "
W02000352,Newport 006,W06000022,Newport,W92000004,Wales," 39,606 "," 46,272 "," 33,900 "," 12,372 "
W02000353,Newport 007,W06000022,Newport,W92000004,Wales," 47,863 "," 55,888 "," 40,990 "," 14,898 "
W02000354,Newport 008,W06000022,Newport,W92000004,Wales," 39,562 "," 46,297 "," 33,808 "," 12,489 "
W02000355,Newport 009,W06000022,Newport,W92000004,Wales," 62,080 "," 72,971 "," 52,815 "," 20,156 "
W02000356,Newport 010,W06000022,Newport,W92000004,Wales," 38,175 "," 45,205 "," 32,239 "," 12,966 "
W02000357,Newport 011,W06000022,Newport,W92000004,Wales," 43,194 "," 50,455 "," 36,978 "," 13,477 "
W02000358,Newport 012,W06000022,Newport,W92000004,Wales," 56,259 "," 66,172 "," 47,830 "," 18,342 "
W02000359,Newport 013,W06000022,Newport,W92000004,Wales," 42,931 "," 50,281 "," 36,656 "," 13,625 "
W02000360,Newport 014,W06000022,Newport,W92000004,Wales," 41,459 "," 48,798 "," 35,224 "," 13,574 "
W02000361,Newport 015,W06000022,Newport,W92000004,Wales," 41,778 "," 48,750 "," 35,803 "," 12,947 "
W02000362,Newport 016,W06000022,Newport,W92000004,Wales," 55,171 "," 65,146 "," 46,724 "," 18,422 "
W02000363,Newport 017,W06000022,Newport,W92000004,Wales," 42,951 "," 50,233 "," 36,724 "," 13,509 "
W02000364,Newport 018,W06000022,Newport,W92000004,Wales," 39,444 "," 46,660 "," 33,343 "," 13,317 "
W02000365,Newport 019,W06000022,Newport,W92000004,Wales," 42,809 "," 51,009 "," 35,927 "," 15,082 "
W02000366,Newport 020,W06000022,Newport,W92000004,Wales," 58,976 "," 69,838 "," 49,803 "," 20,035 "
W02000097,Powys 001,W06000023,Powys,W92000004,Wales," 44,306 "," 52,308 "," 37,528 "," 14,780 "
W02000098,Powys 002,W06000023,Powys,W92000004,Wales," 46,173 "," 53,933 "," 39,530 "," 14,403 "
W02000099,Powys 003,W06000023,Powys,W92000004,Wales," 37,717 "," 44,052 "," 32,293 "," 11,759 "
W02000100,Powys 004,W06000023,Powys,W92000004,Wales," 41,673 "," 49,080 "," 35,383 "," 13,697 "
W02000101,Powys 005,W06000023,Powys,W92000004,Wales," 45,175 "," 52,985 "," 38,516 "," 14,469 "
W02000102,Powys 006,W06000023,Powys,W92000004,Wales," 43,549 "," 50,997 "," 37,188 "," 13,809 "
W02000103,Powys 007,W06000023,Powys,W92000004,Wales," 46,402 "," 55,719 "," 38,643 "," 17,076 "
W02000104,Powys 008,W06000023,Powys,W92000004,Wales," 38,136 "," 44,843 "," 32,432 "," 12,411 "
W02000105,Powys 009,W06000023,Powys,W92000004,Wales," 38,850 "," 45,501 "," 33,171 "," 12,330 "
W02000106,Powys 010,W06000023,Powys,W92000004,Wales," 42,240 "," 49,583 "," 35,984 "," 13,599 "
W02000107,Powys 011,W06000023,Powys,W92000004,Wales," 40,873 "," 49,398 "," 33,819 "," 15,579 "
W02000108,Powys 012,W06000023,Powys,W92000004,Wales," 38,772 "," 45,444 "," 33,080 "," 12,364 "
W02000109,Powys 013,W06000023,Powys,W92000004,Wales," 38,509 "," 45,075 "," 32,899 "," 12,176 "
W02000110,Powys 014,W06000023,Powys,W92000004,Wales," 38,894 "," 45,675 "," 33,119 "," 12,556 "
W02000111,Powys 015,W06000023,Powys,W92000004,Wales," 41,861 "," 49,183 "," 35,629 "," 13,554 "
W02000113,Powys 017,W06000023,Powys,W92000004,Wales," 44,805 "," 52,337 "," 38,358 "," 13,979 "
W02000114,Powys 018,W06000023,Powys,W92000004,Wales," 50,686 "," 59,709 "," 43,027 "," 16,682 "
W02000414,Powys 020,W06000023,Powys,W92000004,Wales," 46,347 "," 54,885 "," 39,137 "," 15,748 "
W02000416,Powys 021,W06000023,Powys,W92000004,Wales," 40,614 "," 47,615 "," 34,642 "," 12,973 "
W02000284,Merthyr Tydfil 002,W06000024,Merthyr Tydfil,W92000004,Wales," 38,626 "," 45,088 "," 33,089 "," 11,999 "
W02000285,Merthyr Tydfil 003,W06000024,Merthyr Tydfil,W92000004,Wales," 49,543 "," 57,814 "," 42,455 "," 15,359 "
W02000286,Merthyr Tydfil 004,W06000024,Merthyr Tydfil,W92000004,Wales," 38,343 "," 47,979 "," 30,642 "," 17,337 "
W02000287,Merthyr Tydfil 005,W06000024,Merthyr Tydfil,W92000004,Wales," 41,920 "," 49,015 "," 35,852 "," 13,163 "
W02000288,Merthyr Tydfil 006,W06000024,Merthyr Tydfil,W92000004,Wales," 38,905 "," 45,689 "," 33,128 "," 12,561 "
W02000289,Merthyr Tydfil 007,W06000024,Merthyr Tydfil,W92000004,Wales," 44,005 "," 51,409 "," 37,668 "," 13,741 "
W02000415,Merthyr Tydfil 008,W06000024,Merthyr Tydfil,W92000004,Wales," 37,194 "," 43,731 "," 31,635 "," 12,096 "
