site_name,longitude,latitude,permit_regime,town,county,permit_count
Bill Way & Co Ltd,-3.1363018619832315,51.47645734772736,Waste,Rover Way,Cardiff,2
Biodegradeable Waste Transfer Station,-3.98389577355642,51.79157743162988,Waste,Ammanford,Carmarthenshire,7
"Biogenie Wastewater Treatment Plant, Glan Llyn, St Modwen Development Site",-2.919992519765528,51.57280302275644,Waste,Newport,Newport,4
Birdport Waste Storage Facility,-2.9658217993499947,51.56263381427277,Installation,Newport,Newport,1
Black Rock Farm Poultry Unit,-2.935535334565031,53.02134385584987,Installation,Wrexham,Wrexham,1
Blacksmiths Garage,-3.366100004621023,52.28088294098151,Waste,Llandrindod Wells,Powys,1
Blaenbwch Farm,-3.440078014665445,52.09147805425776,Installation,Builth Well,Powys,1
Blaencilgoed Farm,-4.6832530601228415,51.76492643372866,Waste,Narberth,Pembrokeshire,1
Blaenwaun Pharmaceutical Plant,-4.385127765244749,52.09223387765898,Installation,LLANDYSUL,Dyfed,2
Blancomet- Cardiff,-3.196584820769826,51.46297209122915,Waste,Cardiff,Cardiff,3
Brecon Recycling Centre,-3.412318395326156,51.93986052561493,Waste,Brecon,Powys,8
Brecon Transfer Station - Cwrt Y Plyffin,-3.3249126576829884,51.97526879800102,Waste,Brecon,Powys,6
Bridgend Clinical Waste Treatment Plant and Transfer Station,-3.577161130083395,51.54945253824543,Installation,Bridgend,Bridgend,6
Bridgend Paper Mill,-3.6202195320687776,51.57193063243574,Installation,Bridgend,MID GLAMORGAN,6
Brindley Road,-3.200362667650746,51.45882413912266,Waste,Cardiff,Glamorgan,7
British Soil Western Ltd,-3.257751054388138,51.45148738606144,Waste,Wenvoe,Glamorgan,2
Briton Ferry Household Waste Recycling Centre,-3.827628514638637,51.63057031041404,Waste,Briton Ferry,Neath Port Talbot,4
Briton Ferry Shipping Services Ltd,-3.827795949595327,51.637968369020456,Waste,Neath,N P T,4
Bron Afon Poultry Farm EPR/SP3138WA,-4.344492778421384,53.33883538587661,Installation,LLANERCHYMEDD,Gwynedd,2
Bron Y Nant Road Waste Transfer And Materials Reclamation Facility,-3.7609460472716263,53.297743630001634,Waste,Colwyn Bay,Conwy,1
