site_name,longitude,latitude,permit_regime,town,county,permit_count
Gellia Ar Gwellt Uchaf Farm Landfill  No 1,-3.2672664525626853,51.66016723667417,Waste,Hengoed,Caerphilly,1
Gellia'r-gwellt Uchaf Transfer & Composting Station,-3.2679118337728847,51.65998043464665,Waste,Hengoed,Caerphilly,9
Gelliargwellt Uchaf Farm 2 Landfill,-3.269104776433325,51.65455452624578,Waste,Hengoed,Caerphilly,1
Gelling Fibre Plant EA/EPR/NP3433BC/V003,-3.296899258351464,51.76621509679411,Installation,Tredegar,South Wales,1
Genauhafod Poultry Unit,-3.321140259985829,52.48114139487843,Installation,Newtown,Powys,1
Gene Metals,-3.3312132354575046,51.592569442698526,Waste,Pontypridd,R C T,1
Giants Grave Landfill,-3.831595503585013,51.64726112923357,Waste,Neath,N P T,1
Gibbon Equipment Hire Ltd,-3.243026716433011,51.65773784159556,Waste,Blackwood,Caerphilly,1
Glan Dwr Poultry Farm EPR/MP3538WD,-4.240595968094844,53.2194582002521,Installation,GAERWEN,Gwynedd,2
Glan Y Don Depot,-4.402790745713794,52.89145991135369,Waste,Pwllheli,Gwynedd,1
Glan Yr Afon Civic Amenity Site,-4.047615571719817,52.40131672835314,Waste,Aberystwyth,Ceredigion,7
Glan Yr Afon Waste Transfer Station,-4.047895901685824,52.40133884490716,Waste,Aberystwyth,Ceredigion,7
Glangwden Poultry Unit,-3.531986097061653,52.48676181863073,Installation,Caersws,Powys,1
Glanyrafon Depot,-4.037849028123627,52.40406613334658,Waste,Aberystwyth,Ceredigion,7
Glascoed Munitions Factory,-2.9539245116499586,51.71294376271884,Installation,Usk,Monmouthshire,2
Global Spares Limited,-3.4524858788995263,51.63214327337628,Waste,Tonypandy,Rhondda Cynon Taf,1
Globe Way Recycling Park,-3.066451517932248,53.1767390127753,Waste,Buckley,Flintshire,1
Glogue Quarry Landfill,-4.591070630427419,51.96473579385971,Waste,Hermon,Pembrokeshire,1
Glogue Quarry Transfer Station,-4.596551568535643,51.96334696871682,Waste,Hermon,Pembrokeshire,1
Gmh Vehicle Dismantlers,-3.110837180024874,51.49633063458251,Waste,Cardiff,Glamorgan,5
Gofer Bulking Station,-3.5462214969466195,53.28460303666699,Waste,Abergele,Conwy,4
Gower Chemicals Ltd,-3.8879394609058,51.621522521438514,Waste,Swansea,West Glamorgan,4
Great Tyrmynach,-2.875538341462077,51.768671070089134,Installation,USK,Monmouthshire,2
Green Skips Environmental Ltd,-4.283494873057895,53.21827488321618,Waste,Gaerwen,Ynys Mon,7
Green Steel Works Ltd,-3.287509766989697,51.75453935793208,Waste,Tredegar,Caerphilly,1
Greenacres Skip Hire,-5.006801324084675,51.97216751942795,Waste,Fishguard,Pembrokeshire,6
Greenfield Recycling Park,-3.190688363185223,53.28485435808253,Waste,Greenfield,Flintshire,7
Greenway Farm,-3.327292388667097,51.93460113032031,Installation,Brecon,Powys,1
Griffiths Waste Solutions,-4.958976031768291,51.82596420833536,Waste,Haverfordwest,Pembs,1
Groes Y Garreg,-3.225495507358494,52.61599298823518,Installation,Welshpool,Powys,1
Grove Farm Autos,-3.502456439775416,51.73148619558427,Waste,Aberdare,R C T,5
Gwalchmai Civic Amenity Site,-4.42887431753649,53.26038133223332,Waste,Holyhead,Ynys Mon,14
Gwent Demolition & Construction Ltd,-3.741298737371724,51.537050275691584,Waste,Kenfig,N P T,2
Gwrtaith Gwynedd,-4.296936020218643,52.91412732072606,Waste,Pwllheli,Gwynedd,7
Gwrthwynt Waste Transfer Station,-4.499448505074015,52.09263366525518,Waste,Newcastle Emlyn,Ceredigion,7
Gwynedd Council,-3.8777350350104,52.74646434304992,Waste,Dolgellau,Gwynedd,7
Gwynedd Skip And Plant Hire Ltd,-4.246187699363117,53.14023354505074,Waste,Caernarfon,Gwynedd,6
Gwynt Y Mor Poultry Farm EPR/SP3438WP,-4.461597407789613,53.25942207966595,Installation,HOLYHEAD,Gwynedd,2
H K Motors,-3.0867454127857914,53.05313952493408,Waste,Minera,Wrexham,4
"H K Motors, Ruabon",-3.0430217862213995,52.998362202916425,Waste,Wrexham,Clwyd,2
Hafod Garage Waste Transfer Station,-3.158766763163941,51.80413663162842,Waste,Brynmawr,Blaenau Gwent,1
Halfway Motor Spares,-4.993171336449744,51.76225781377132,Waste,Haverfordwest,Pembrokeshire,6
Hammond Poultry,-3.392297799145173,52.246339321877215,Installation,LLANDRINDOD WELLS,Powys,1
Hangar 208,-3.441497289489845,51.40965302734521,Waste,Barry,Vale of Glamorgan,7
Harp International Limited Gellihirion Hazardous Waste,-3.2938895244769077,51.58169315788914,Installation,Pontypridd,Rhondda Cynon Taff,1
Harris Salvage,-4.145002897853335,53.20579904977922,Waste,Bangor,Gwynedd,4
Haverfordwest Creamery,-4.97556908396336,51.79144954619896,Installation,HAVERFORDWEST,Dyfed,2
Hendre Poultry Unit,-3.250084807285526,52.42900439673139,Installation,Knighton,Powys,1
Hendreboeth,-3.154835652470375,52.75903473270825,Installation,Welshpool,Powys,1
Hendy Quarry Landfill,-3.3647680996024683,51.519978593056976,Waste,Pontyclun,R C T,1
Hendy Recycling,-3.3634019025326074,51.521046548591016,Waste,Pontyclum,Mid Glamorgan,6
Henllys,-3.64802294697479,53.19583988388216,Waste,Conwy,Conwy,1
Heol Ty Gwyn Civic Amenity Site,-3.671220023301244,51.61293897345138,Waste,Bridgend,Glamorgan,2
Hermon Civic Amenity and recycling centre,-4.630483223056808,51.95833061347621,Waste,Crymych,Pembrokeshire,5
Highfield Poultry Farm,-4.099283842670473,51.5837599723096,Installation,SWANSEA,West Glamorgan,1
Hirwaun Materials Recovery Facility,-3.538726072727826,51.74882059312808,Installation,Aberdare,Rhondda Cynon Taff,1
Hirwaun OCGT Plant,-3.5406522233619784,51.74497382061282,Installation,Aberdare,RCT,1
Hoseley Bank Farm EPR/EP3932CC,-2.9451920603684765,53.079105452771245,Installation,WREXHAM,Clwyd,1
Hydro Wrexham Scrap Hub,-2.910731940607106,53.044881968746616,Waste,Wrexham,Wrexham,2
Hydrogen Production Facility,-3.8169241911549534,51.61580927579296,Installation,Baglan,Neath Port Talbot,1
Hyppo Hydrogen Solutions Bay Studios,-3.874895269871167,51.62294560700629,Installation,Swansea,Neath Port Talbot,1
I Hayward Ltd,-3.043213230070392,52.99765034642283,Waste,Wrexham,Clwyd,4
I T Williams Ltd,-3.3142580461355786,53.11939853348492,Waste,Ruthin,Denbighshire,1
IQE (Europe) Ltd,-3.0857697013739918,51.530797240837536,Installation,Cardiff,South Wales,2
J & A Metals Recycling Centre,-4.06592912651687,51.78208881618642,Waste,Crosshands,Carmarthenshire,6
"J A Bowen & Co, Landfill",-3.263158626072353,52.6482410307065,Waste,Welshpool,Powys,1
J Chadwicks Scrapyard,-2.9954575714154608,53.19878398719676,Waste,Deeside,Flintshire,3
J H Evans & Sons,-3.9446592189649934,53.000839978953096,Waste,Blaenau Ffestiniog,Gwynedd,1
J Pesci & Sons Ltd,-3.2002748365996703,51.56894866064084,Waste,Caerphilly,Glamorgan,2
J Reid Trading Ltd EPR/MP3531MD/V003,-3.000564762157381,53.20081771373781,Installation,DEESIDE,FLINTSHIRE,2
JD Jones Recycling,-4.92825899466323,51.69539716180284,Waste,Pembroke Dock,Sir Benfro,1
JR Works,-3.968700002419287,51.67700084290089,Waste,Langyfelach,Swansea,1
Jab 93,-3.560009943432413,51.515655543761866,Waste,Bridgend,Glamorgan,4
Jay Metals,-4.511992885638854,51.96216986280802,Waste,Llanfyrnach,Pembrokeshire,4
Jayplas,-4.033943027841067,51.67817281686009,Waste,Swansea,Swansea,5
Jensons Metals,-4.956293158499488,51.695854644439656,Waste,Pembroke Dock,Pembrokeshire,4
Jukes Landfill,-3.1594110790958507,51.72124674299013,Waste,Aberbeeg,Blaenau Gwent,1
K & L Car Dismantlers,-3.096292734955997,51.5061517247545,Waste,Cardiff,Glamorgan,2
K G Matthews Auto Salvage,-4.28715187170272,53.22927245300479,Waste,Gaerwen,Ynys Mon,5
K M Environmental Ltd,-3.422702297968371,53.263262635085454,Waste,St Asaph,Denbighshire,5
KDK Metals Unit,-2.974860165444288,51.56567916305008,Waste,Newport,Newport,3
KLA Corporation UK Limited,-2.9231228428020364,51.60052649776531,Installation,Newport,Newport,1
Kelloggs,-2.914082818278496,53.0481553748533,Installation,Wrexham,Wrexham,3
Kings Dock,-3.90668904139224,51.61734366836024,Waste,Swansea,Swansea,4
Kingsbridge Auto Parts,-4.0351362141730895,51.663170625527854,Waste,Gorseinon,Swansea,2
Kingswood Farm Landfill,-3.1126698976243854,52.6080806112608,Waste,Welshpool,Powys,1
Kinmel Park Depot,-3.509223388399463,53.2644189620946,Waste,Bodelwyddan,Denbighshire,7
Kittle Hill Poultry Farm,-4.0626675167473545,51.58800654922809,Installation,SWANSEA,West Glamorgan,2
L C C Wales Ltd,-3.551601758483723,51.747473334148594,Waste,Aberdare,R C T,7
LAS Waste Ltd.,-4.078011150869719,52.121411723503975,Waste,Lampeter,Ceredigion,7
LCS Scrap Metals,-4.7506272368024405,51.73260125568773,Waste,Kilgetty,Pembrokeshire,1
Lamby Way Depot,-3.12417711915216,51.49810077787642,Waste,Cardiff,Glamorgan,20
Land Off Trostre Link Road,-4.130599119736404,51.67729487171214,Waste,Llanelli,Carmarthenshire,1
Land at Ystrad Road known as the former dog track,-4.002309898065702,51.64737777720919,Waste,Swansea,Swansea,1
Landfarm 7,-5.072667571551059,51.73851096903304,Waste,Milford Haven,Pembrokeshire,1
Langdon Farm,-4.756989310854354,51.72933130103317,Installation,Kilgetty,Pembrokeshire,1
Las Waste Transfer Station,-4.924286164078045,51.69640458714174,Waste,Pembroke Dock,Pembrokeshire,1
Lawn Civic Amenity Site,-3.2830849488703917,51.75739313482149,Waste,Tredegar,Gwent,1
Lawrence Landfill,-4.99182558403089,51.76973907051027,Waste,Haverfordwest,Pembs,3
Lechwedd Slate Mines,-3.934671328927833,53.00210881181686,Waste,Blaenau Ffestiniog,Gwynedd,1
Legacy Car Dismantlers,-3.0615988454643888,53.02188528101224,Waste,Wrexham,Clwyd,2
Lelo Metal Recycling Ltd,-3.393414127000707,53.03262768713895,Waste,Corwen,Denbighshire,3
Lixwm Poultry Farm EPR/MP3338WV,-3.2495708894251685,53.23828909674732,Installation,HOLYWELL,Clwyd,2
Llanddulas Composting Facility,-3.647074804865345,53.2799890432406,Waste,Conwy,Clwyd,4
Llanddulas Quarry Waste Treatment Centre,-3.6573478652732496,53.28886343549429,Waste,Abergele,Conwy,11
Llandow Household Waste Recycling Centre,-3.5067779437076907,51.43329068415144,Waste,Llandow,Glamorgan,1
Llandow Metals Ltd,-3.5085776742808616,51.43770071182419,Waste,Cowbridge,Vale of Glamorgan,4
Llandrindod Wells Household Waste Recycling Centre,-3.3797604502196394,52.24684620599356,Waste,Llandrindod Wells,Powys,1
Llandygai Civic Amenity Site,-4.108673952138301,53.21737131827235,Waste,Bangor,Gwynedd,7
Llandygai Transfer Station,-4.111799671027815,53.220013111002885,Waste,Bangor,Gwynedd,1
Llanelli Plant,-4.0912232745825,51.66906421907374,Installation,LLANELLI,DYFED,1
Llanelli Tin Recovery Works,-4.158902795884996,51.6690081478038,Installation,LLANELLI,DYFED,2
Llanfechain Farm Poultry Unit,-3.1920894135933966,52.77527969847888,Installation,LLANFECHAIN,Powys,2
Llanfoist Waste Transfer Station,-3.021865079255181,51.81297705926055,Waste,Abergavenny,Monmouthshire,6
Llangefni Dairy,-4.312729213055285,53.248738365159234,Installation,Llangefni,Anglesey,3
Llangefni prepared meats,-4.30709208709317,53.24983664701499,Installation,LLANGEFNI,Gwynedd,1
Llansantffraid Mill,-3.156185737293232,52.774196713040425,Installation,Llansantffraid Ym Mechain,Powys,2
Llanshay Farm,-3.026229801129524,52.338350963403286,Installation,Knighton,Powys,1
Llantrisant Autos,-3.400809754359608,51.55311181665503,Waste,Llantrisant,R C T,2
Llanwern Hydrogen Plant EPR/BL2459IC,-2.901741783570991,51.57075076105696,Installation,Newport,Newport,1
Llanwern Landfill : South Side Of Queensway,-2.902343071749336,51.57124067646086,Waste,Newport,Gwent,1
Llanwern Steelworks EPR/BS3905IP,-2.9379285811662323,51.5763116084351,Installation,Newport,South Wales,3
Llanwern Works East,-2.8739008727627446,51.57411748784078,Waste,Newport,Gwent,1
Llanwern Works Inert Waste Recycling Facility,-2.919769661325115,51.570341067297136,Waste,Llanwern,Newport,4
Llay Depot,-3.014749084234377,53.09903738047014,Waste,Llay,Wrexham,1
Llwyn Fynwent,-4.059313519382949,52.31440727654307,Waste,Aberystwyth,Ceredigion,4
Llwyn Isaf Anaerobic Digestion Plant,-4.310349739036125,53.01484749246483,Waste,Near Caernarfon,Gwynedd,3
Llwyn Isaf Landfill And Transfer Station,-4.311040563922913,53.01605685987266,Waste,Caernarfon,Gwynedd,1
Llysonnen Mill,-4.349274580758545,51.85132431627199,Installation,CARMARTHEN,Dyfed,1
Lodge Farm Digester,-2.9224735049607022,53.0826997340672,Waste,Wrexham,Clwyd,4
Longlands Quarry,-3.545952696709976,51.48400033411213,Waste,Bridgend,Mid Glamorgan,1
Longlife Spares,-3.2320728410489625,51.60938785824782,Waste,Llanbradach,Caerphilly,2
Longships Road,-3.147586913694548,51.45965842892306,Waste,Cardiff,S Glamorgan,6
Lovatt Brothers,-3.218768187044424,52.52051294583643,Waste,Montgomery,Powys,7
Lower Pentwyn,-2.96151204564007,51.74992647079589,Installation,ABERGAVENNY,Gwent,2
Lower Trederwen Farm Broiler Unit,-3.0862980590588664,52.73518464424332,Installation,Llanymynech,Powys,1
M & E Bin Hire,-3.325658245387074,51.59862091048417,Waste,Pontypridd,R C T,4
M & R Commercials Vehicle Dismantling & Recycling Facility,-3.989923956467463,51.64114978852754,Waste,Swansea,W Glamorgan,4
MJ Rubbish Removals Ltd,-2.9612683723909283,51.62441657855192,Waste,Newport,Newport,1
MTCBC Waste Transfer Station,-3.353316020304926,51.71826475711868,Waste,Pentrebach,Merthyr Tydfil,7
Machen Quarry,-3.1258881720907974,51.59084363475111,Waste,Machen,Caerphilly,1
Maelor Foods Limited,-2.9175068565403413,53.0141129869288,Installation,Wrexham,Wrexham,3
Maes Mynan Quarry,-3.321801421401522,53.23852561336364,Waste,Mold,Clwyd,1
Maes Mynan Quarry,-3.317282569375716,53.23775760869111,Waste,Mold,Clwyd,3
Maes Y Grug Landfill,-3.104398087932897,53.18439369057763,Waste,Mold,Flintshire,1
Maesgwyn Renewable Energy & Recycling Centre,-3.6393329192897,51.76517403643534,Waste,Neath,N P T,2
Maesmawr Hall Poultry Unit EPR/BP3739UZ,-3.232372969484378,52.6793927753843,Installation,WELSHPOOL,Powys,2
Magor Brewery EPR/BX7282IS,-2.8442757896456614,51.58421613560685,Installation,Caldicot,Monmouthshire,3
Maindiff Court Farm,-2.998730614091905,51.82820031225082,Waste,Abergavenny,Monmouthshire,2
Major Motors Services Ltd,-3.20053423851408,51.47358717395738,Waste,Cardiff,Glamorgan,2
Manorowen Civic Amenity and recycling centre,-5.007857643564131,51.98054064875524,Waste,Fishguard,Pembrokeshire,5
Margam Gases,-3.747049052938195,51.56030885544383,Installation,PORT TALBOT,WEST GLAMORGAN,1
Margam Green Energy Plant,-3.746990995154501,51.562557798859785,Installation,Port Talbot,Neath Port Talbot,1
Marian Ffrith Landfill,-3.3923304542996187,53.29245059264963,Waste,Dyserth,Denbighshire,1
Materials Recovery & Energy  Centre,-3.880821420890643,51.62406475543487,Waste,SWANSEA,West Glamorgan,7
Meadowbank Poultry Farm,-2.951782710679567,51.72123323965442,Installation,Usk,Monmouthshire,2
Mekatek Ltd,-4.323858897976117,51.84955428438084,Waste,Johnstown,Carmarthenshire,8
Mekatek Ltd,-3.281996809101182,51.75222585255823,Installation,Rhymney,Caerphilly,27
Melin Plas Du,-4.377021789488924,52.937250415545655,Waste,Pwllheli,Gwynedd,7
Merthyr Borough Recycling Centre Ltd-transfer Station,-3.3350098451162,51.77055389146848,Waste,Merthyr Tydfil,Glamorgan,1
Milford Haven Ceramics EPR/BW0886IZ,-5.030795841620166,51.72177310588592,Installation,MILFORD HAVEN,Dyfed,2
Milford Haven Energy,-4.995276467827361,51.70561413136972,Installation,MILFORD HAVEN,DYFED,2
Milford Haven Refinery,-5.064432268992701,51.735200515793146,Installation,Pembrokeshire,Dyfed,7
Min Y Clwyd Yard,-3.312044096705876,53.119809514576765,Waste,Ruthin,Denbighshire,7
Minafon Poultry Farm EPR/UP3938WC,-4.381254553002863,53.24370218519791,Installation,BODORGAN,Gwynedd,2
Miner's Road Depot,-3.014596463624215,53.09953309916119,Waste,Wrexham,Clwyd,2
"Minffordd Farm,",-3.461601485207604,52.68676641730568,Installation,Welshpool,Powys,2
Minffordd Quarry and Asphalt Plant,-4.096475114767817,52.930324057363904,Waste,Penrhyndeudraeth,Gwynedd,2
Mitchell Troy Household Waste Recycling Centre,-2.715359558266889,51.80162904391139,Waste,Monmouth,Monmouthshire,7
Mochdre Civic Amenity Site,-3.75925045626846,53.29811027756282,Waste,Colwyn Bay,Conwy,3
Moel Garregog,-3.183946197370941,53.05967307022861,Waste,Wrexham,Clwyd,1
Moel Y Faen Quarry,-3.2209246652106724,53.02121902857128,Waste,Llangollen,Denbighshire,5
Mold Recycling Park,-3.13166182007356,53.14621145981676,Waste,Mold,Flintshire,1
Monometals Ltd,-2.988329625435049,51.572732819996894,Waste,Newport,Newport,4
Moorland Environmental Ltd,-3.148056313647611,51.47893249585928,Waste,Cardiff,South Glamorgan,1
Morfa Non-Hazardous Landfill,-3.760285971669546,51.56685521127891,Installation,PORT TALBOT,West Glamorgan,1
Morfa Tip Closed Landfill Site,-3.7663286996694936,51.54369901756162,Waste,Port Talbot,N P T,1
Mynydd Llan Poultry Farm EPR/UP3138WD,-3.275482303751036,53.24295876202616,Installation,HOLYWELL,Clwyd,2
Nant Coed Farm Poultry Unit,-4.229290051897808,51.83283385488587,Installation,Nantycaws,Carmarthenshire,1
Nant Glas  Incinerator,-3.4863482276801765,52.265089465264,Waste,Llandrindod Wells,Powys,1
Nant Y Garth Landfill Site,-4.177687832944622,53.19005658436173,Waste,Portdinorwic,Gwynedd,1
Nant Y Gwyddon  Landfill,-3.4737854116013502,51.638432900175125,Waste,Pentre,R C T,1
Nant-y-Corddi Poultry Farm,-3.143998144135675,52.300038740365096,Installation,KNIGHTON,Powys,2
Nant-y-caws Landfill Site (Phase 1 Effluent Treatment Plant),-4.217264858332711,51.830327551194685,Installation,CARMARTHEN,Dyfed,1
Nantfforch,-3.2631002954424884,52.64826862349256,Waste,Welshpool,Powys,1
Nantgarw  Enzyme Production Facility,-3.2707385333515493,51.56355782750771,Installation,Cardiff,Cardiff,1
Nantycaws H C I Transfer & Treatment Facility,-4.216411328710771,51.835703198978926,Installation,Carmarthen,Carmarthenshire,18
Nantycaws Landfill EPR/CP3735PB,-4.209562342433406,51.83604794880235,Installation,Carmarthen,Carmarthenshire,12
Nantycaws Landfill Phase 1,-4.218553440392109,51.83469159865116,Waste,Carmarthen,Carmarthenshire,1
National Engine Centre,-3.135466335774273,51.47586298613864,Waste,Tremorfa Ind Est,Cardiff,1
National Grid Electricity Distribution Bridgend,-3.571147125033321,51.50592116314418,Waste,Bridgend,Pen-y-bont ar Ogwr,1
National Grid Electricity Distribution Mill Brook Drive,-3.90508371586427,51.67210635579735,Waste,Swansea,Abertawe,2
National Grid Electricity Distribution Withybush,-4.963742099059942,51.82162600209498,Waste,Haverfordwest,Pembrokeshire,1
Natural U K Ltd Healthcare Management Facility,-4.040666469090143,51.78000338004399,Waste,Ammanford,Carmarthenshire,6
Neuadd Isaf Farm,-3.3253229508191886,52.25007746028184,Installation,Llandrindod Wells,Powys,2
Neville's Dock,-4.165601177479981,51.66845312340758,Waste,Llanelli,Carmarthenshire,5
Nevills Dock,-4.163025906525127,51.66994842313441,Waste,Llanelli,Carmarthenshire,1
New Horizon Biofuel and Animal  Bedding Co Ltd,-3.036984120269616,53.00072534429567,Waste,Wrexham,Wrexham,7
New Horizon Plastics Co Ltd,-3.134924097773052,53.2533964716396,Waste,Flint,Flintshire,10
New House Lagoon,-2.92962274973946,51.83847753397166,Waste,Abergavenny,Monmouthshire,1
New Vale HWRC,-3.2250475189236374,51.78752269431256,Waste,Ebbw Vale,Blaenau Gwent,8
Newport Ceramic Works EPR/BP3532HX,-2.948172871638913,51.56930571369725,Installation,Newport,South Wales,1
"Newport Liquid Waste Treatment Centre, Nash STW",-2.958192888417476,51.55178049675398,Waste,Newport,Newport,2
Newport Metal Site,-2.9875093831427124,51.56085274798091,Installation,Newport,Gwent,10
Newport Oil Treatment Plant,-2.980348516091363,51.56729688681256,Waste,Newport,Gwent,3
Newport Recycling Facility NRW/EPR/YP3135TE/V004,-2.943721268016944,51.57033068527887,Installation,Newport,South Wales,1
Newport Refrigerator Plant,-2.9859419181005733,51.56108173179479,Installation,Newport,Gwent,14
Newport Semiconductor Plant,-3.022689753540496,51.56580248840986,Installation,Newport,South Wales,3
Newtown Household Waste Recycling Centre,-3.2939717769489505,52.51876139586225,Waste,Newtown,Powys,1
Nine Mile Point Waste Transfer Facility,-3.1678566674302235,51.61464818635389,Installation,Newport,Caerphilly,8
Nis-Spec 1st,-3.1595034214777016,52.675309483364735,Waste,Welshpool,Powys,1
North Wales Skip Hire Ltd,-3.417200561042183,53.19389255000112,Waste,Denbigh,Denbighshgire,1
Norton Farm,-3.020445495840676,52.2866423470985,Installation,Presteigne,Powys,1
O J Jones & Son,-4.148744933408723,52.93270756197811,Waste,Porthmadog,Gwynedd,1
Oakdale Recycling Limited,-3.1360102619030865,51.643005763105855,Waste,Abercarn,Caerphilly,1
Oakenholt Household Waste Recycling Centre,-3.100390368128194,53.23533726444855,Waste,Flint,Flintshire,7
Oakenholt Mill EPR/BJ9681IX,-3.107171959508505,53.2362812482853,Installation,FLINT,CLWYD,3
Old Barry Sidings,-3.372510214497567,51.60962787939372,Waste,Pontypridd,Mid Glamorgan,2
Old Bridge Inn,-3.085108410728613,53.152982385022014,Waste,Mold,Flintshire,1
Old Crown Works,-3.8376597335250393,51.65424328527059,Waste,Neath,Neath Port Talb,3
Old Sawmills Waste Transfer Station With Treatment & Recycling Facility,-3.8909593561150593,51.9414694483469,Waste,Llangadog,Carmarthenshire,7
Olivers Sales & Rentals,-3.2313819873241805,51.66654652056396,Waste,Hengoed,Ystrad Mynach,4
Olleco Cymru Wales,-2.979196423853383,51.56739642466951,Waste,Newport,Newport,2
P Dobbins Chester Ltd,-2.945820393280779,53.17851324487341,Waste,Saltney,Flintshire,4
P M Dromgoole & Sons Agricultural Ltd,-3.0135329064896705,53.16099342173082,Waste,Nr Mold,Flintshire,1
Padeswood Cement Works,-3.0620088712329228,53.15497955063472,Installation,MOLD,CLWYD,35
Padeswood Landfill,-3.060756566637778,53.15089156436876,Waste,Mold,Flintshire,1
Palleg Landfill Phase II EPR/BT1908IX,-3.7865997013331385,51.788654590835584,Installation,Lower Cwmtwrch,SWANSEA,2
Pancross A D Plant,-3.3720436593068874,51.42438879306064,Installation,Barry,South Glamorgan,12
Pant Y Llandron,-3.3974356543368094,51.4561457537659,Waste,Cowbridge,Vale Of Glam,1
Pantile Autos,-3.4373299372345536,51.59926650596286,Waste,Tonypandy,R C T,2
Paperback Collection & Recycling Ltd,-3.0181030822153154,53.22450857751897,Waste,Deeside,Clwyd,14
Parc Adfer Energy Recovery Facility,-3.034678183432413,53.23728331664572,Installation,Deeside,Flintshire,10
Parc Gwynfryn Recycling Centre,-4.638889897419916,51.978772394144535,Waste,Crymych,Pembrokeshire,3
Parc Stormy Anaerobic Digestion Facility,-3.66958605437224,51.50695277121517,Installation,Bridgend,Mid Glamorgan,5
Parfitt Scrapyard,-3.170332559983658,51.7915059666264,Waste,Brynmawr,Blaenau Gwent,5
Parrys Quarry Waste Transfer & Reprocessing Centre,-3.0867809401022925,53.188403182557806,Waste,Mold,Flintshire,1
Pembrey Motor Racing Circuit,-4.321207354000538,51.7036811023594,Waste,Llanelli,Carmarthenshire,1
Pembroke Power Station,-5.00018696626738,51.68379516090136,Installation,PEMBROKE,Dyfed,1
Pembroke Refinery,-5.020934742047071,51.67965630991733,Waste,Pembroke,Pembrokeshire,2
Pembrokeshire Eco Park,-5.057927429558994,51.74290715380376,Waste,Milford Haven,Pembrokeshire,14
Pen Cae Poultry,-3.0723943201777826,52.647793068559466,Installation,Welshpool,Powys,1
"Pen Y Bont Scrapyard, Bala",-3.590007018330689,52.90307649804969,Waste,Bala,Gwynedd,4
Pen Y Palmant Farm,-3.0860005628483327,53.062675223033125,Waste,Wrexham,Wrexham,4
Pen Y Wain Farm,-3.059109491752106,51.533100126827264,Waste,Cardiff,Newport,4
Pen-y-bont Highways Depot,-3.29492925356146,52.26776723650562,Waste,Pen-y-bont,Llandrindod Wells,2
Penallta Civic Amenity Site,-3.244617910655469,51.65724442422589,Waste,Hengoed,Caerphilly,3
Pencefnarda Quarry,-4.055308882959502,51.6807592766161,Waste,Swansea,West Glamorgan,3
Pencoed EPR/BX9854IW,-3.4923247141080243,51.51769641048605,Installation,Pencoed,Mid Glamorgan,1
Pencoed Peaking Power Plant,-3.488264781950752,51.52181244122307,Installation,Bridgend,Bridgend,1
Pencoedcae Farm Landfill,-3.359048132520939,51.74141513920985,Waste,Merthyr Tydfil,Glamorgan,1
Pengam Partmart,-3.230385132419898,51.66444392448345,Waste,Hengoed,Caerphilly,4
Penhesgyn Gors Landfill (area 3),-4.200296816835241,53.2471275399903,Waste,Menai Bridge,Ynys Mon,1
Penhesgyn House Waste Recycling Centre,-4.19993666821435,53.244490933470495,Waste,Menai Bridge,Gwynedd,1
Penhesgyn Waste Transfer & Materials Recovery Facility,-4.198719617920321,53.2444324830692,Waste,Llansadwrn,Ynys Mon,6
Penlan Civic Amenity Site,-3.962345642660438,51.64845735304903,Waste,Penlan,Swansea,4
Penmaen Civic Amenity Site,-3.1848952749661907,51.65827594746738,Waste,Blackwood,Caerphilly,3
Penmaenmawr Quarry,-3.9400958507516304,53.25851669902567,Waste,Conwy,Gwynedd,1
Penpound Poultry Unit,-3.4312621961873893,52.22453747917218,Installation,Llandrindod Wells,Powys,1
Penrhos Depot Hazardous Waste Transfer Station,-4.363427876944736,52.08439815174946,Waste,Llandysul,Ceredigion,7
Penrhos Depot Landfill,-4.365178085874231,52.08437201884898,Waste,Llandysul,Ceredigion,1
Penrhyn Quarry,-4.068964695975341,53.17041789260461,Waste,Bangor,Gwynedd,1
Penrhyndeudraeth Works,-4.057821390501133,52.9278622606223,Waste,Penrhyndeudraeth,Gwynedd,10
Penstrowed Quarry,-3.3761243607694658,52.50846621431126,Waste,Caersws,Powys,3
Pentre Agrochemicals Plant EPR/FP3031CW,-3.0074604107379943,53.20120905642875,Installation,Deeside,Flintshire,1
Pentreucha Farm EPR/AP3230UK,-3.4404238487898624,52.67264107958809,Installation,Welshpool,Powys,1
Penycoed Landfill,-4.258424814155852,51.838707437010974,Waste,Carmarthen,Carmarthenshire,1
Perry Orchard Poultry Farm EPR/GP3936MK,-2.8606335035292574,51.830730808940814,Installation,Llantillio Crossenny,Monmouthshire,2
Pertheirin Free Range Poultry Init,-3.4630414635230333,52.52876705809017,Installation,Caersws,Powys,1
Pets At Rest,-4.150961370475261,52.01574022128674,Waste,Carmarthen,Carmarthenshire,1
Phase 2 Wrexham Recycling Park,-2.914893510567792,53.04276448354295,Installation,Wrexham,Clwyd,1
Phoenix Metals and Colin Davies Non- Ferrous Metals,-4.282429261677759,53.21964393476785,Waste,Ynys Mon,Gwynedd,3
Pic Up Spares,-3.937511110043007,51.64437368756074,Waste,Llandore,Swansea,4
Pilkington Asbestos Removal Services Ltd,-3.4776119882478675,53.31773664060874,Waste,Rhyl,Denbighshire,2
